#relative x, relative y: srcx, srcy, width, height, dstx, dsty, (clip list)
-4,5: 0, 0, 0, 0, 0, 0, ( )
-3,5: 0, 0, 0, 0, 0, 0, ( )
-2,5: 0, 0, 0, 0, 0, 0, ( )
-1,5: 0, 0, 0, 0, 0, 0, ( )
0 ,5: 0, 0, 0, 0, 0, 0, ( )
1 ,5: 0, 0, 0, 0, 0, 0, ( )
2 ,5: 0, 0, 0, 0, 0, 0, ( )
3 ,5: 0, 0, 0, 0, 0, 0, ( )
4 ,5: 0, 0, 0, 0, 0, 0, ( )

# 13, 11, 4x1
-4,4: 0 , 0 , 0, 0, 0 , 0 , ( )
-3,4: 13, 11, 4, 1, 0 , 13, ( )
-2,4: 13, 11, 4, 1, 7 , 13, ( )
-1,4: 13, 11, 4, 1, 16, 13, ( )
0 ,4: 13, 11, 4, 1, 25, 13, ( )
1 ,4: 13, 11, 4, 1, 34, 13, ( )
2 ,4: 13, 11, 4, 1, 43, 13, ( )
3 ,4: 13, 11, 4, 1, 51, 13, ( )
4 ,4: 0 , 0 , 0, 0, 0 , 0 , ( )

#13, 8, 6x2
-3, 3: 0 , 0, 0, 0, 0 , 0 , ( )
-2, 3: 14, 8, 5, 2, 0 , 14, ( )
-1, 3: 13, 8, 6, 2, 10, 14, ( )
0 , 3: 13, 8, 6, 2, 24, 14, ( )
1 , 3: 13, 8, 6, 2, 38, 14, ( )
2 , 3: 13, 8, 5, 2, 49, 14, ( )
3 , 3: 0 , 0, 0, 0, 0 , 0 , ( )

#0, 8, 11x4
-2, 2: 0, 0, 0 , 0, 0 , 0 , ( )
-1, 2: 0, 8, 12, 4, 0 , 15, ( )
0 , 2: 0, 8, 12, 4, 21, 15, ( )
1 , 2: 0, 8, 12, 4, 42, 15, ( )
2 , 2: 0, 0, 0 , 0, 0 , 0 , ( )

#0, 0, 17x7
-1, 1: 0 , 0, 4 , 7, 0 , 16, ( )
0 , 1: 0 , 0, 18, 7, 18, 16, ( )
1 , 1: 14, 0, 4 , 7, 50, 16, ( )
