#format
#relative x,  relative y: srcx,  srcy,  width,  height,  dstx,  dsty,  (clip list)
-4, 5: 30, 10, 1, 1, 0, 11,  ()
-3, 5: 30, 10, 1, 1, 5, 11,  ()
-2, 5: 30, 10, 1, 1, 12, 11,  ()
-1, 5: 30, 10, 1, 1, 19, 11,  ()
0, 5: 30, 10, 1, 1, 27, 11,  ()
1, 5: 30, 10, 1, 1, 33, 11,  ()
2, 5: 30, 10, 1, 1, 41, 11,  ()
3, 5: 30, 10, 1, 1, 48, 11,  ()
4, 5: 30, 10, 1, 1, 53, 11,  ()
-4, 4: 30, 10, 1, 1, 0, 12,  ()
-3, 4: 26, 11, 4, 3, 0, 10,  ()
-2, 4: 26, 11, 4, 3, 8, 10,  ()
-1, 4: 26, 11, 4, 3, 17, 10,  ()
0, 4: 26, 11, 4, 3, 25, 10,  ()
1, 4: 26, 11, 4, 3, 33, 10,  ()
2, 4: 26, 11, 4, 3, 42, 10,  ()
3, 4: 26, 11, 4, 3, 50, 10,  ()
4, 4: 30, 10, 1, 1, 53, 12,  ()
-3, 3: 25, 10, 1, 1, 0, 13,  ()
-2, 3: 19, 11, 6, 5, 1, 9,  ()
-1, 3: 19, 11, 6, 5, 12, 9,  ()
0, 3: 19, 11, 6, 5, 24, 9,  ()
1, 3: 19, 11, 6, 5, 36, 9,  ()
2, 3: 19, 11, 6, 5, 46, 9,  ()
3, 3: 25, 10, 1, 1, 53, 13,  ()
-2, 2: 0, 0, 1, 1, 0, 15,  ()
-1, 2: 19, 0, 12, 10, 1, 7,  ()
0, 2: 19, 0, 12, 10, 21, 7,  ()
1, 2: 19, 0, 12, 10, 41, 7,  ()
2, 2: 0, 0, 1, 1, 53, 15,  ()
-1, 1: 0, 0, 4, 15, 0, 5,  ()
0, 1: 0, 0, 18, 15, 18, 5,  ()
1, 1: 0, 0, 4, 15, 50, 5,  ()
-1, 0: 0, 0, 1, 1, 0, 22,  ()
0, 0: 0, 0, 1, 1, 28, 23,  ()
1, 0: 0, 0, 1, 1, 53, 22,  ()
